# 1: Target cache size
# 
# Target:
# 	Command: pwd -s 4096
# 	CPU: 1
# 	Sample period: 100000
# 	Counters:
# 		 2: PERF_COUNT_HW_INSTRUCTIONS
# 		 3: BRANCH_INSTRUCTIONS_RETIRED
# 		 4: MISPREDICTED_BRANCH_RETIRED
# Pirate:
# 	Ways: 16
# 	Cache size: 4194304
# 	Way size: 262144
# 	Stride: 64
# 	CPU: 0
# 	Counters:
# 		 5: PERF_COUNT_HW_INSTRUCTIONS
# 		 6: PERF_COUNT_HW_CPU_CYCLES
# 	Reference size:	2097152
# 	Reference:	165780 129886
3670016 98489 19558 2014 846328 716335
3932160 100055 24271 2330 818582 462393
4194304 100004 19171 1682 6145865 5483549
